[2025-09-16 03:44:45.869975] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:46.070395] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:46.170754] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:46.170794] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:46.271073] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:46.271114] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:46.271137] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:46.371251] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:46.571687] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:46.671987] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:46.672047] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:46.672081] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:46.772498] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:46.772524] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:46.772667] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:46.772684] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:46.872923] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:47.074377] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:47.174385] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:47.174633] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:47.274761] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:47.274904] [LOG] RCV DATA SEQ=12226 LEN=1024
[2025-09-16 03:44:47.274924] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.275072] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:44:47.275096] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.375524] [LOG] RCV DATA SEQ=14274 LEN=100
[2025-09-16 03:44:47.375583] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.576418] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:47.676749] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:47.676792] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:47.777053] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:47.777094] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:47.777116] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:47.877328] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:48.078454] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:48.178649] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:48.178694] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:48.278840] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:48.278980] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:48.279009] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:48.379259] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:48.579661] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:48.679950] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:48.680006] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:48.780301] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:48.780356] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:48.780395] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:48.880575] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:49.080957] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:49.181499] [LOG] RCV DATA SEQ=9154 LEN=1024
[2025-09-16 03:44:49.181542] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:49.181589] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:49.282088] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:49.282129] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:49.282152] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:49.382359] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:49.582676] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:49.683032] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:49.683090] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:49.783392] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:49.783436] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:49.783506] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:49.783527] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:49.883928] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:50.084781] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:50.185098] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:50.185155] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:50.285443] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:50.285514] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:50.285552] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:50.385736] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:50.586114] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:50.686434] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:50.686525] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:50.786774] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:50.786831] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:50.786883] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:50.786917] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:44:50.786946] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:50.887388] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:51.087929] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:51.188208] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:51.188268] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:51.288491] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:51.288518] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:51.288532] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:51.388761] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:51.589273] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:51.689551] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:51.689576] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:51.789864] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:51.789915] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:51.789945] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:51.890105] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:52.090449] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:52.190736] [LOG] RCV DATA SEQ=9154 LEN=1024
[2025-09-16 03:44:52.190791] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:52.190843] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:52.291232] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:52.291371] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:52.291393] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:52.391953] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:52.592340] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:52.692642] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:52.692705] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:52.793041] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:52.793075] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:52.793092] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:52.893261] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:53.093731] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:53.194033] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:53.194074] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:53.194102] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:53.294494] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:53.294643] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:53.294666] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:53.394984] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:53.595322] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:53.695652] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:53.695749] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:53.695772] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:53.796110] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:53.796223] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:53.796310] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:53.896602] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:54.096967] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:54.197398] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:54.197469] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:54.297707] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:54.297759] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:54.297797] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:54.397930] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:54.598505] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:54.698789] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:54.698852] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:54.799174] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:54.799211] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:54.799232] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:44:54.799247] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:54.899640] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:55.100048] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:55.200376] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:55.200434] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:55.300708] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:55.300760] [LOG] RCV DATA SEQ=12226 LEN=1024
[2025-09-16 03:44:55.300794] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:55.300835] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:55.401235] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:55.601758] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:55.702076] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:55.702135] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:55.802402] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:55.802454] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:55.802511] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:55.902681] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:56.103038] [LOG] RCV DATA SEQ=8130 LEN=1024
[2025-09-16 03:44:56.103079] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:56.203452] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:56.203592] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:56.203625] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:56.304080] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:56.304126] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:56.304155] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:44:56.304179] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:56.404646] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:56.706259] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:56.706353] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:56.806868] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:56.806897] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:56.806937] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:56.907261] [LOG] RCV DATA SEQ=14274 LEN=100
[2025-09-16 03:44:56.907303] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:57.208077] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:57.208138] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:57.208172] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:57.308625] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:57.308706] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:57.308899] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:57.308933] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:57.409170] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:57.709723] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:57.709766] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:57.809998] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:57.910349] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:57.910410] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:58.010647] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:58.211031] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:58.211080] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:58.211107] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:58.311498] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:58.411800] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:58.411855] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:58.512018] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:58.712417] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:58.712455] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:58.812680] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:58.912964] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:58.913019] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:59.013219] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:59.213613] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:59.213640] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:59.313870] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:59.414241] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:59.414303] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:59.514529] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:59.714963] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:59.715019] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:59.715071] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:44:59.815546] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:59.915879] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:59.915905] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:45:00.016227] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:45:00.216618] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:45:00.216663] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:45:00.316839] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:45:00.417137] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:45:00.417186] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:45:00.517402] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:45:00.717834] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:45:00.717893] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:45:00.818090] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:45:00.918434] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:45:00.918525] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:45:00.918563] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:45:01.018955] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:45:01.219425] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:45:01.219457] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:45:01.319690] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:45:01.419987] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:45:01.420018] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:45:01.520223] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:45:01.720693] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:45:01.720745] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:45:01.720777] [LOG] SND ACK=9154 WIN=51200
[2025-09-16 03:45:01.821175] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:45:01.921595] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:45:01.921642] [LOG] DROP DATA SEQ=13250
